region,population,population_trend,population_per_of_rf,population_bad_region,real_incomes,real_incomes_trend,real_incomes_per_of_rf,real_incomes_bad_region,real_pay,real_pay_trend,real_pay_per_of_rf,real_pay_bad_region,poor,poor_trend,poor_per_of_rf,poor_bad_region,child_mortality_100k,child_mortality_100k_trend,child_mortality_100k_per_of_rf,child_mortality_100k_bad_region,disabled_100k,disabled_100k_trend,disabled_100k_per_of_rf,disabled_100k_bad_region,alco,alco_per_of_rf,alco_bad_region,drug,drug_trend,drug_per_of_rf,drug_bad_region,grp,grp_per_of_rf,grp_bad_region,constraint,constraint_per_of_rf,constraint_bad_region,living_area,living_area_per_of_rf,living_area_bad_region,very_bad_living_area,very_bad_living_area_per_of_rf,very_bad_living_area_bad_region,general_morbidity,general_morbidity_trend,general_morbidity_per_of_rf,general_morbidity_bad_region,congenital_malformation,congenital_malformation_trend,congenital_malformation_per_of_rf,congenital_malformation_bad_region,psychosis,psychosis_trend,psychosis_per_of_rf,psychosis_bad_region,teenage_pregnancy,teenage_pregnancy_trend,teenage_pregnancy_per_of_rf,teenage_pregnancy_bad_region,conditions_in_perinatal,conditions_in_perinatal_trend,conditions_in_perinatal_per_of_rf,conditions_in_perinatal_bad_region,newborn_100k,newborn_100k_trend,newborn_100k_per_of_rf,newborn_100k_bad_region,poverty_percent,poverty_percent_trend,poverty_percent_per_of_rf,poverty_percent_bad_region,poverty_socdem_children,poverty_socdem_children_trend,poverty_socdem_children_per_of_rf,poverty_socdem_children_bad_region,poverty_socdem_retired,poverty_socdem_retired_trend,poverty_socdem_retired_per_of_rf,poverty_socdem_retired_bad_region,poverty_socdem_employable,poverty_socdem_employable_trend,poverty_socdem_employable_per_of_rf,poverty_socdem_employable_bad_region,mining,mining_trend,mining_per_of_rf,mining_bad_region,manufacturing,manufacturing_trend,manufacturing_per_of_rf,manufacturing_bad_region,electricity,electricity_trend,electricity_per_of_rf,electricity_bad_region,water_supply,water_supply_trend,water_supply_per_of_rf,water_supply_bad_region,industrial_production,industrial_production_trend,industrial_production_per_of_rf,industrial_production_bad_region,retail,retail_per_of_rf,retail_bad_region,welfare_expense,welfare_expense_trend,welfare_expense_per_of_rf,welfare_expense_bad_region,population_children,population_employable,population_retired,children_serious_crimes,children_serious_crimes_trend,children_serious_crimes_per_of_rf,children_serious_crimes_bad_region,repeat_serious_crimes,repeat_serious_crimes_trend,repeat_serious_crimes_per_of_rf,repeat_serious_crimes_bad_region,drunk_serious_crimes,drunk_serious_crimes_trend,drunk_serious_crimes_per_of_rf,drunk_serious_crimes_bad_region,bad_region_sum
Алтайский край,2268179.0,-1,1.56,1,95.5,1,96.86,1,103.8,1,100.0,0,7.7,-1,73.33,0,4.0,-1,100.0,0,2589.0,-1,92.7,0,88.1,170.74,1,17.4,-1,172.28,1,291156.9,45.46,1,3.3,86.84,0,18.0,106.51,0,0.2,33.33,0,112764.7,1,143.46,1,200.1,-1,97.14,0,1272.1,-1,287.22,1,3.3,1,21.29,0,1127.7,-1,54.95,0,827.0,-1,86.15,1,17.5,-1,144.63,0,31.4,-1,79.09,0,9.2,1,176.92,1,59.4,1,107.61,1,9146146.1,1,0.06,0,361880102.22,1,0.76,0,44741016.3,-1,0.75,1,10454410.5,1,0.73,0,426221675.12,1,0.61,0,174321.0,64.42,0,29.7,1,139.44,0,18.9,55.3,25.8,26.0,1,92.86,0,18.0,1,90.0,0,14.0,1,77.78,0,11
Амурская область,772525.0,-1,0.53,1,100.3,1,101.72,0,105.2,1,101.35,0,9.7,0,92.38,0,5.0,-1,125.0,0,3047.0,-1,109.09,0,113.3,219.57,1,24.4,-1,241.58,1,571362.1,89.2,0,5.9,155.26,1,17.3,102.37,0,0.3,50.0,0,83412.0,1,106.12,1,370.1,1,179.66,1,446.7,-1,100.86,0,4.4,-1,28.39,0,3762.0,-1,183.31,1,939.0,-1,97.81,0,15.2,-1,125.62,0,38.4,-1,96.73,0,4.7,1,90.38,0,56.9,1,103.08,1,116722688.8,1,0.81,0,39093856.5,1,0.08,0,43000318.7,1,0.72,0,3471369.5,1,0.24,0,202288233.5,1,0.29,0,276635.0,102.23,0,21.7,-1,101.88,0,20.1,58.6,21.3,37.0,1,132.14,1,24.0,1,120.0,0,18.0,1,100.0,0,9
Архангельская область без Ненецкого АО,1069782.0,-1,0.73,1,98.4,1,99.8,0,102.9,1,99.13,0,6.8,-1,64.76,0,3.0,-1,75.0,0,2326.0,-1,83.28,0,64.7,125.39,0,9.2,1,91.09,0,514200.4,80.28,0,2.2,57.89,0,16.9,100.0,0,0.7,116.67,0,99842.1,-1,127.02,0,458.9,1,222.77,1,685.3,1,154.73,1,13.8,1,89.03,0,4145.0,-1,201.97,1,784.0,1,81.67,1,12.3,-1,101.65,0,28.5,-1,71.79,0,7.2,1,138.46,1,64.3,1,116.49,1,30698169.7,1,0.21,0,259143871.78,1,0.54,0,36359400.42,1,0.61,0,5852056.12,1,0.41,0,332053498.02,-1,0.48,1,280050.0,103.49,0,21.3,1,100.0,0,18.2,56.1,25.7,30.0,1,107.14,0,21.0,0,105.0,0,26.0,1,144.44,1,9
Астраханская область,989430.0,-1,0.68,1,97.1,1,98.48,0,104.5,1,100.67,0,6.6,-1,62.86,0,5.0,-1,125.0,0,1941.0,-1,69.5,0,22.2,43.02,0,0.2,-1,1.98,0,526950.9,82.27,0,3.1,81.58,0,19.2,113.61,0,0.2,33.33,0,64679.9,-1,82.29,0,415.1,1,201.5,1,624.5,-1,141.0,0,15.5,1,100.0,0,2484.4,-1,121.05,0,1073.0,-1,111.77,0,15.6,-1,128.93,0,42.1,1,106.05,1,5.5,1,105.77,1,52.4,-1,94.93,0,249844173.9,1,1.72,0,76028083.9,1,0.16,0,29929257.8,1,0.5,0,6497362.3,1,0.45,0,362298877.9,1,0.52,0,196096.0,72.47,0,31.4,1,147.42,0,20.6,56.2,23.2,35.0,1,125.0,1,20.0,1,100.0,0,10.0,-1,55.56,0,5
Белгородская область,1531917.0,1,1.05,0,98.1,-1,99.49,1,104.8,1,100.96,0,8.7,-1,82.86,0,4.0,-1,100.0,0,3696.0,-1,132.33,0,41.3,80.04,0,3.2,-1,31.68,0,646569.0,100.94,0,2.0,52.63,0,17.8,105.33,0,0.4,66.67,0,74637.4,-1,94.96,0,136.2,1,66.12,0,388.2,-1,87.65,0,0.0,-1,0.0,0,2424.0,-1,118.11,0,793.0,-1,82.6,1,7.2,-1,59.5,0,39.7,-1,100.0,0,5.2,-1,100.0,0,55.2,1,100.0,0,189803813.7,1,1.31,0,746380688.41,1,1.56,0,26787381.9,-1,0.45,1,11175025.3,1,0.78,0,974146909.31,1,1.4,0,259151.0,95.77,0,16.1,1,75.59,1,16.9,56.9,26.2,27.0,1,96.43,0,17.0,1,85.0,0,17.0,1,94.44,0,4
Брянская область,1168771.0,-1,0.8,1,96.3,1,97.67,0,102.9,1,99.13,0,8.2,-1,78.1,0,2.0,-1,50.0,0,3089.0,-1,110.6,0,82.2,159.3,1,6.1,-1,60.4,0,347204.5,54.21,0,0.6,15.79,0,24.1,142.6,0,0.0,0.0,0,77439.0,-1,98.52,0,192.1,1,93.25,0,411.3,-1,92.87,0,0.0,-1,0.0,0,519.8,-1,25.33,0,765.0,-1,79.69,1,13.6,-1,112.4,0,44.8,1,112.85,1,3.7,1,71.15,0,51.6,-1,93.48,0,310665.9,1,0.0,0,255686208.3,1,0.54,0,17876399.5,1,0.3,0,9588966.4,1,0.67,0,283462240.1,1,0.41,0,257679.0,95.22,0,23.1,-1,108.45,0,16.9,56.5,26.6,34.0,1,121.43,1,16.0,-1,80.0,0,12.0,-1,66.67,0,5
Владимирская область,1323659.0,-1,0.91,1,98.0,1,99.39,0,103.0,1,99.23,0,5.9,-1,56.19,0,5.0,-1,125.0,0,2757.0,-1,98.71,0,66.5,128.88,0,7.8,1,77.23,0,410443.6,64.08,0,2.5,65.79,0,16.1,95.27,0,0.0,0.0,0,94163.6,1,119.8,1,210.4,1,102.14,1,572.7,-1,129.31,0,22.5,1,145.16,1,1904.7,-1,92.81,0,729.0,-1,75.94,1,12.5,-1,103.31,0,39.7,-1,100.0,0,5.2,-1,100.0,0,55.2,1,100.0,0,4965110.5,1,0.03,0,526153656.11,1,1.1,0,37264660.97,1,0.63,0,12942570.39,1,0.91,0,581325997.97,1,0.83,0,207670.0,76.74,0,26.0,1,122.07,0,16.5,55.8,27.7,25.0,1,89.29,0,20.0,-1,100.0,0,20.0,-1,111.11,0,5
Волгоградская область,2449781.0,-1,1.68,1,98.7,1,100.1,0,104.2,1,100.39,0,7.0,-1,66.67,0,4.0,-1,100.0,0,2516.0,-1,90.08,0,55.6,107.75,0,7.7,-1,76.24,0,394256.5,61.55,0,3.3,86.84,0,17.9,105.92,0,0.6,100.0,0,64210.5,-1,81.69,0,122.5,-1,59.47,0,505.7,-1,114.18,0,15.5,-1,100.0,0,2335.3,-1,113.79,0,790.0,-1,82.29,1,11.9,-1,98.35,0,46.2,1,116.37,1,4.0,-1,76.92,0,49.8,1,90.22,0,34272695.0,1,0.24,0,775584323.2,1,1.62,0,72780640.71,1,1.22,0,21630796.2,1,1.51,0,904268455.11,1,1.3,0,194191.0,71.76,0,25.1,-1,117.84,0,17.0,57.1,25.9,32.0,1,114.29,0,18.0,1,90.0,0,17.0,1,94.44,0,3
Вологодская область,1139499.0,-1,0.78,1,99.6,1,101.01,0,105.4,1,101.54,0,6.7,-1,63.81,0,5.0,-1,125.0,0,2496.0,-1,89.37,0,50.1,97.09,0,6.1,-1,60.4,0,544379.2,84.99,0,2.9,76.32,0,16.9,100.0,0,0.3,50.0,0,91608.4,1,116.55,1,199.4,1,96.8,0,524.6,-1,118.45,0,3.3,1,21.29,0,1317.1,-1,64.18,0,905.0,-1,94.27,0,12.8,-1,105.79,0,43.1,1,108.56,1,2.3,-1,44.23,0,54.6,-1,98.91,0,612397.6,1,0.0,0,728137683.51,1,1.52,0,40112366.04,-1,0.67,1,8572731.6,1,0.6,0,777435178.75,1,1.12,0,208031.0,76.88,0,25.9,1,121.6,0,19.4,55.4,25.2,28.0,1,100.0,0,20.0,1,100.0,0,21.0,1,116.67,0,4
Воронежская область,2287678.0,-1,1.57,1,95.4,1,96.75,1,103.2,1,99.42,0,9.8,-1,93.33,0,4.0,-1,100.0,0,3142.0,-1,112.5,0,73.4,142.25,0,22.5,1,222.77,1,459629.5,71.76,0,1.6,42.11,0,19.9,117.75,0,0.1,16.67,0,55009.9,1,69.99,0,98.4,1,47.77,0,583.5,-1,131.75,0,4.2,1,27.1,0,1597.9,-1,77.86,0,806.0,-1,83.96,1,8.5,-1,70.25,0,28.5,-1,71.79,0,2.3,-1,44.23,0,69.2,1,125.36,1,9230600.5,1,0.06,0,552645129.4,1,1.16,0,137798961.7,1,2.31,0,18592053.8,1,1.3,0,718266745.4,1,1.03,0,296665.0,109.63,0,21.6,1,101.41,0,16.1,56.7,27.2,35.0,1,125.0,1,20.0,1,100.0,0,20.0,1,111.11,0,6
Еврейская автономная область,153831.0,-1,0.11,1,99.2,1,100.61,0,103.7,1,99.9,0,4.8,-1,45.71,0,12.0,-1,300.0,1,3143.0,-1,112.53,0,87.0,168.6,1,65.4,1,647.52,1,400340.5,62.5,0,4.6,121.05,0,13.8,81.66,1,0.5,83.33,0,70367.2,1,89.52,0,656.2,1,318.54,1,635.7,1,143.53,1,20.5,1,132.26,1,2536.7,-1,123.6,0,991.0,-1,103.23,0,23.6,1,195.04,1,34.8,1,87.66,0,10.8,1,207.69,1,54.4,-1,98.55,0,17093714.5,1,0.12,0,5460452.6,1,0.01,0,4967490.1,1,0.08,0,447750.1,-1,0.03,1,27969407.3,1,0.04,0,188492.0,69.66,0,31.2,1,146.48,0,20.7,58.0,21.3,25.0,1,89.29,0,26.0,1,130.0,1,29.0,1,161.11,1,13
Забайкальский край,1043467.0,-1,0.72,1,99.9,1,101.32,0,102.9,1,99.13,0,7.2,-1,68.57,0,9.0,-1,225.0,1,2945.0,-1,105.44,0,77.7,150.58,1,9.6,1,95.05,0,402594.6,62.85,0,5.1,134.21,0,17.1,101.18,0,0.9,150.0,0,65922.4,-1,83.87,0,237.5,1,115.29,1,482.7,-1,108.99,0,21.1,1,136.13,1,4769.4,-1,232.39,1,1137.0,-1,118.44,0,20.9,-1,172.73,1,33.4,-1,84.13,0,7.2,-1,138.46,0,59.3,1,107.43,1,171636571.6,1,1.18,0,29004343.5,1,0.06,0,34863653.0,1,0.58,0,4031109.7,1,0.28,0,239535677.8,1,0.34,0,188623.0,69.7,0,26.5,1,124.41,0,22.6,58.3,19.1,39.0,1,139.29,1,23.0,0,115.0,0,19.0,1,105.56,0,9
Ивановская область,976918.0,-1,0.67,1,97.2,-1,98.58,1,101.6,1,97.88,0,6.5,-1,61.9,0,2.0,-1,50.0,0,2504.0,-1,89.65,0,78.5,152.13,1,5.7,-1,56.44,0,273821.5,42.75,1,3.9,102.63,0,18.1,107.1,0,0.9,150.0,0,88473.5,1,112.56,1,270.4,-1,131.26,0,516.2,-1,116.55,0,0.0,-1,0.0,0,525.8,-1,25.62,0,742.0,-1,77.29,1,13.7,-1,113.22,0,39.7,1,100.0,0,5.2,-1,100.0,0,55.2,-1,100.0,0,1170505.2,1,0.01,0,184046210.8,1,0.39,0,28174991.4,-1,0.47,1,6394404.2,1,0.45,0,219786111.6,1,0.32,0,211546.0,78.17,0,25.1,-1,117.84,0,16.4,56.4,27.2,21.0,-1,75.0,0,20.0,-1,100.0,0,18.0,1,100.0,0,7
Иркутская область,2357134.0,-1,1.62,1,100.4,1,101.83,0,103.5,1,99.71,0,7.6,-1,72.38,0,6.0,-1,150.0,1,3701.0,-1,132.51,0,81.7,158.33,1,15.7,-1,155.45,1,631591.9,98.61,0,4.1,107.89,0,16.3,96.45,0,0.9,150.0,0,99980.3,1,127.2,1,242.2,1,117.57,1,567.7,-1,128.18,0,6.0,-1,38.71,0,1826.1,-1,88.98,0,1098.0,-1,114.38,0,17.6,-1,145.45,0,41.5,1,104.53,1,7.0,1,134.62,1,51.5,-1,93.3,0,533657684.0,1,3.68,0,531602808.9,1,1.11,0,131246617.9,1,2.2,0,21413422.2,1,1.5,0,1217920533.0,1,1.75,0,200034.0,73.92,0,28.6,1,134.27,0,22.1,56.7,21.2,23.0,-1,82.14,0,21.0,-1,105.0,0,19.0,0,105.56,0,8
Кабардино-Балкарская Республика,870487.0,-1,0.6,1,98.7,1,100.1,0,105.0,1,101.16,0,7.9,-1,75.24,0,6.0,-1,150.0,1,3335.0,-1,119.41,0,51.6,100.0,0,10.0,-1,99.01,0,210674.1,32.89,1,3.0,78.95,0,18.9,111.83,0,0.5,83.33,0,44792.0,1,56.99,0,150.2,-1,72.91,0,224.4,-1,50.67,0,8.2,-1,52.9,0,2332.2,1,113.64,1,1204.0,-1,125.42,0,24.2,-1,200.0,1,35.9,1,90.43,0,6.7,-1,128.85,0,57.4,1,103.99,1,386863.6,1,0.0,0,38751605.03,1,0.08,0,9541947.9,1,0.16,0,1424813.7,1,0.1,0,50105229.93,1,0.07,0,217260.0,80.29,0,34.4,1,161.5,0,21.6,58.7,19.7,23.0,0,82.14,0,21.0,-1,105.0,0,10.0,-1,55.56,0,6
Калининградская область,1027678.0,1,0.71,0,99.2,1,100.61,0,99.2,1,95.57,1,5.8,-1,55.24,0,4.0,-1,100.0,0,2213.0,-1,79.23,0,79.1,153.29,1,4.2,-1,41.58,0,530036.9,82.75,0,5.9,155.26,1,15.6,92.31,0,1.5,250.0,1,82758.6,1,105.29,1,388.8,1,188.74,1,360.7,-1,81.44,0,0.0,-1,0.0,0,917.8,-1,44.72,0,874.0,-1,91.04,0,13.5,-1,111.57,0,29.1,-1,73.3,0,6.1,-1,117.31,0,64.8,1,117.39,1,14788998.7,1,0.1,0,579414803.93,1,1.21,0,49918467.8,1,0.84,0,7709618.2,1,0.54,0,651831888.63,1,0.94,0,218937.0,80.91,0,12.6,1,59.15,1,17.8,58.3,23.9,21.0,1,75.0,0,16.0,1,80.0,0,15.0,0,83.33,0,8
Калужская область,1012844.0,-1,0.7,1,99.2,1,100.61,0,102.4,1,98.65,0,6.1,-1,58.1,0,3.0,-1,75.0,0,2628.0,-1,94.09,0,58.1,112.6,0,6.0,1,59.41,0,558174.6,87.14,0,3.3,86.84,0,15.5,91.72,0,0.0,0.0,0,75548.6,1,96.12,0,149.3,-1,72.48,0,468.4,-1,105.76,0,0.0,-1,0.0,0,1281.9,-1,62.46,0,863.0,-1,89.9,1,9.7,-1,80.17,0,39.7,-1,100.0,0,5.2,-1,100.0,0,55.2,1,100.0,0,4778744.1,1,0.03,0,883848076.8,1,1.85,0,25199220.5,1,0.42,0,10263402.5,1,0.72,0,924089443.9,1,1.33,0,235693.0,87.1,0,16.9,-1,79.34,1,17.1,56.7,26.2,31.0,1,110.71,0,22.0,1,110.0,0,23.0,1,127.78,1,4
Камчатский край,312704.0,-1,0.21,1,102.1,1,103.55,0,103.8,1,100.0,0,8.3,-1,79.05,0,5.0,-1,125.0,0,1825.0,-1,65.34,0,63.1,122.29,0,9.2,1,91.09,0,942802.0,147.19,0,5.1,134.21,0,15.9,94.08,0,2.0,333.33,1,77458.3,-1,98.54,0,229.0,1,111.17,1,513.7,-1,115.99,0,0.0,-1,0.0,0,658.3,-1,32.08,0,988.0,-1,102.92,0,14.6,-1,120.66,0,42.6,-1,107.3,0,5.9,1,113.46,1,51.5,-1,93.3,0,30559560.7,1,0.21,0,123011432.7,1,0.26,0,22291178.2,1,0.37,0,2952087.6,1,0.21,0,178814259.1,1,0.26,0,239715.0,88.58,0,13.3,1,62.44,1,18.8,62.1,19.1,31.0,-1,110.71,0,22.0,-1,110.0,0,20.0,-1,111.11,0,5
Карачаево-Черкесская Республика,464219.0,1,0.32,0,97.3,1,98.68,0,107.0,1,103.08,0,5.5,-1,52.38,0,5.0,-1,125.0,0,6230.0,-1,223.06,1,21.7,42.05,0,5.4,-1,53.47,0,207471.5,32.39,1,5.8,152.63,1,18.3,108.28,0,1.7,283.33,1,63347.1,1,80.59,0,86.1,-1,41.8,0,236.4,-1,53.38,0,15.5,0,100.0,0,1335.1,-1,65.05,0,961.0,-1,100.1,0,23.2,-1,191.74,1,27.6,-1,69.52,0,6.9,-1,132.69,0,65.5,1,118.66,1,2713194.6,1,0.02,0,26494436.7,1,0.06,0,9824939.7,1,0.16,0,1536797.5,1,0.11,0,40569368.5,-1,0.06,1,95066.0,35.13,1,26.5,1,124.41,0,19.8,58.6,21.6,30.0,1,107.14,0,18.0,1,90.0,0,10.0,-1,55.56,0,8
Кемеровская область,2604272.0,-1,1.79,1,98.1,1,99.49,0,100.6,1,96.92,1,6.9,-1,65.71,0,5.0,-1,125.0,0,3053.0,-1,109.31,0,39.7,76.94,0,11.8,-1,116.83,0,392374.9,61.26,0,3.1,81.58,0,16.3,96.45,0,0.1,16.67,0,86241.9,1,109.72,1,409.9,1,198.98,1,564.9,-1,127.55,0,7.0,-1,45.16,0,2356.5,-1,114.82,0,824.0,-1,85.83,1,13.2,-1,109.09,0,39.7,-1,100.0,0,4.5,-1,86.54,0,55.8,1,101.09,1,722401467.5,1,4.98,0,621927423.81,1,1.3,0,101545151.8,1,1.7,0,69932690.3,1,4.89,0,1515806733.41,-1,2.18,0,176024.0,65.05,0,23.0,1,107.98,0,19.2,56.5,24.3,25.0,1,89.29,0,17.0,-1,85.0,0,16.0,-1,88.89,0,6
Кировская область,1234780.0,-1,0.85,1,97.8,1,99.19,0,104.1,1,100.29,0,5.8,-1,55.24,0,5.0,-1,125.0,0,2571.0,-1,92.05,0,56.4,109.3,0,4.1,-1,40.59,0,315153.9,49.2,1,3.2,84.21,0,14.9,88.17,1,0.3,50.0,0,74475.5,1,94.75,0,107.2,1,52.04,0,446.1,-1,100.72,0,10.2,-1,65.81,0,2641.8,-1,128.72,0,820.0,-1,85.42,1,14.0,-1,115.7,0,40.8,1,102.77,1,3.4,-1,65.38,0,55.7,-1,100.91,0,1400797.26,1,0.01,0,255581757.88,1,0.53,0,40318238.26,1,0.68,0,8820146.16,1,0.62,0,306120939.56,1,0.44,0,190042.0,70.23,0,27.6,1,129.58,0,18.2,53.7,28.1,28.0,1,100.0,0,18.0,1,90.0,0,18.0,1,100.0,0,5
Костромская область,620776.0,-1,0.43,1,97.3,-1,98.68,1,98.6,1,94.99,1,5.6,-1,53.33,0,3.0,-1,75.0,0,3000.0,-1,107.41,0,61.1,118.41,0,8.9,1,88.12,0,323951.6,50.58,0,3.7,97.37,0,14.5,85.8,1,0.9,150.0,0,71386.8,1,90.82,0,134.9,1,65.49,0,446.5,-1,100.81,0,18.9,-1,121.94,0,896.1,-1,43.66,0,783.0,-1,81.56,1,12.5,-1,103.31,0,39.9,-1,100.5,0,6.6,1,126.92,1,53.5,1,96.92,0,1151136.2,1,0.01,0,137460634.8,1,0.29,0,32142719.0,-1,0.54,1,3817116.6,1,0.27,0,174571606.6,1,0.25,0,217379.0,80.33,0,22.5,1,105.63,0,18.4,54.8,26.8,31.0,1,110.71,0,19.0,0,95.0,0,16.0,1,88.89,0,7
Краснодарский край,5687378.0,1,3.91,0,100.4,1,101.83,0,103.2,1,99.42,0,11.3,-1,107.62,0,4.0,-1,100.0,0,2777.0,-1,99.43,0,18.3,35.47,0,3.9,-1,38.61,0,460720.2,71.93,0,3.7,97.37,0,18.1,107.1,0,1.0,166.67,0,67335.5,1,85.67,0,147.5,-1,71.6,0,277.7,-1,62.7,0,5.9,-1,38.06,0,1528.5,-1,74.48,0,1041.0,-1,108.44,0,10.4,-1,85.95,0,39.3,-1,98.99,0,6.9,-1,132.69,0,53.8,1,97.46,0,24330834.5,1,0.17,0,918998326.79,1,1.92,0,113499769.26,1,1.9,0,30522965.28,-1,2.14,0,1087351895.83,-1,1.56,0,335663.0,124.04,0,25.7,1,120.66,0,19.0,56.5,24.5,28.0,1,100.0,0,19.0,1,95.0,0,18.0,1,100.0,0,0
Красноярский край,2849169.0,-1,1.96,1,99.8,1,101.22,0,105.5,1,101.64,0,9.3,-1,88.57,0,6.0,-1,150.0,1,2680.0,-1,95.95,0,69.1,133.91,0,14.9,-1,147.52,1,951613.7,148.57,0,3.8,100.0,0,16.6,98.22,0,0.8,133.33,0,78434.8,1,99.79,0,165.5,-1,80.34,0,565.5,-1,127.68,0,5.5,1,35.48,0,1241.1,-1,60.47,0,998.0,-1,103.96,0,17.0,-1,140.5,0,35.8,-1,90.18,0,4.8,-1,92.31,0,59.4,1,107.61,1,635615997.3,1,4.38,0,1727194113.6,1,3.61,0,174520929.7,1,2.93,0,33840312.56,1,2.37,0,2571171353.16,1,3.69,0,222969.0,82.4,0,24.8,1,116.43,0,20.0,58.4,21.6,31.0,1,110.71,0,21.0,1,105.0,0,19.0,1,105.56,0,4
Курганская область,805510.0,-1,0.55,1,97.8,1,99.19,0,104.3,1,100.48,0,6.7,-1,63.81,0,5.0,-1,125.0,0,3059.0,-1,109.52,0,77.8,150.78,1,22.5,-1,222.77,1,294464.0,45.97,1,3.9,102.63,0,16.7,98.82,0,0.9,150.0,0,96602.5,1,122.9,1,288.1,1,139.85,1,835.3,-1,188.6,1,4.6,-1,29.68,0,1338.4,-1,65.21,0,882.0,-1,91.88,0,19.3,-1,159.5,1,39.4,0,99.24,0,2.4,-1,46.15,0,58.2,1,105.43,1,3393374.8,1,0.02,0,123383789.96,1,0.26,0,19464469.3,-1,0.33,1,3400843.9,-1,0.24,1,149642477.96,1,0.21,0,163801.0,60.53,0,26.1,1,122.54,0,19.4,52.8,27.8,38.0,1,135.71,1,21.0,1,105.0,0,13.0,-1,72.22,0,12
Курская область,1083584.0,-1,0.74,1,97.8,1,99.19,0,105.3,1,101.45,0,7.9,-1,75.24,0,3.0,-1,75.0,0,4544.0,-1,162.69,1,51.3,99.42,0,5.2,-1,51.49,0,487030.7,76.04,0,1.7,44.74,0,17.1,101.18,0,0.0,0.0,0,54094.0,-1,68.82,0,139.5,1,67.72,0,398.4,-1,89.95,0,0.0,0,0.0,0,1086.0,-1,52.92,0,803.0,-1,83.65,1,9.9,-1,81.82,0,34.2,-1,86.15,0,6.5,-1,125.0,0,59.2,1,107.25,1,104702314.0,1,0.72,0,210207310.4,1,0.44,0,57324742.9,-1,0.96,1,6601104.2,-1,0.46,1,378835471.5,1,0.54,0,238933.0,88.3,0,23.2,1,108.92,0,17.0,55.7,27.3,33.0,1,117.86,0,16.0,1,80.0,0,15.0,1,83.33,0,6
Ленинградская область,1911586.0,1,1.31,0,100.8,-1,102.23,0,101.1,1,97.4,0,7.2,-1,68.57,0,2.0,-1,50.0,0,1987.0,-1,71.14,0,35.3,68.41,0,8.6,-1,85.15,0,661328.6,103.25,0,4.5,118.42,0,17.0,100.59,0,1.6,266.67,1,66653.9,1,84.8,0,123.9,1,60.15,0,457.1,-1,103.21,0,5.2,-1,33.55,0,1080.2,-1,52.63,0,691.0,-1,71.98,1,8.7,-1,71.9,0,39.7,1,100.0,0,5.2,-1,100.0,0,55.2,-1,100.0,0,15391484.6,1,0.11,0,1091256081.5,1,2.28,0,169188746.4,1,2.84,0,21499182.3,1,1.5,0,1297335494.8,1,1.86,0,298432.0,110.28,0,16.7,-1,78.4,1,15.7,58.9,25.4,32.0,1,114.29,0,28.0,1,140.0,1,24.0,1,133.33,1,5
Липецкая область,1113680.0,-1,0.77,1,94.9,-1,96.25,1,103.3,1,99.52,0,8.6,-1,81.9,0,3.0,-1,75.0,0,3362.0,-1,120.37,0,68.6,132.95,0,5.7,-1,56.44,0,546151.3,85.27,0,4.0,105.26,0,16.5,97.63,0,0.0,0.0,0,66621.8,-1,84.76,0,60.0,-1,29.13,0,468.1,-1,105.69,0,3.8,-1,24.52,0,1896.7,-1,92.42,0,797.0,-1,83.02,1,8.4,-1,69.42,0,40.0,-1,100.76,0,0.8,-1,15.38,0,59.3,1,107.43,1,6843657.3,1,0.05,0,737842641.0,1,1.54,0,23272161.3,-1,0.39,1,11323568.2,-1,0.79,1,779282027.8,1,1.12,0,272834.0,100.82,0,22.3,1,104.69,0,17.1,55.8,27.1,26.0,1,92.86,0,15.0,-1,75.0,0,15.0,1,83.33,0,6
Магаданская область,137767.0,-1,0.09,1,104.3,1,105.78,0,105.0,1,101.16,0,10.5,1,100.0,0,5.0,-1,125.0,0,1822.0,-1,65.23,0,127.0,246.12,1,6.2,-1,61.39,0,2035007.0,317.71,0,4.1,107.89,0,13.8,81.66,1,0.0,0.0,0,67012.9,-1,85.26,0,202.9,1,98.5,0,444.8,-1,100.43,0,0.0,-1,0.0,0,1798.8,-1,87.65,0,860.0,-1,89.58,1,8.7,-1,71.9,0,39.7,1,100.0,0,5.2,-1,100.0,0,55.2,-1,100.0,0,38636039.2,1,0.27,0,209854248.97,1,0.44,0,18150890.9,1,0.3,0,1134119.7,1,0.08,0,267775298.77,1,0.38,0,289171.0,106.86,0,11.1,1,52.11,1,18.4,61.1,20.5,23.0,1,82.14,0,27.0,1,135.0,1,24.0,1,133.33,1,7
